description;label
a rutynę zabić;czadoman
jestem dziś;czadoman
Dawniej obciążony wstydem;coma
Tam mogło przecież jeszcze świecić;coma
Angela proszę cię nie idź z tym chłopcem na dno.;coma
wygina się;czadoman
dumny młodzian cud urody;coma
Nie ma szans.;coma
Twoje usta jak malina;czadoman
Nade mną stanął;coma
I rozwalmy tę budę;czadoman
Pokochaj mnie, niech inne serca płaczą.;czadoman
Gdybym mógł Cię mieć w realu,;czadoman
Do powiedzenia od wron.;coma
Na określenie kogoś;coma
Moja bejbe, o niej wszyscy śnią;czadoman
Potrafimy w rzeczywisty sposób;coma
Szok.;coma
Ruda tańczy jak szalona,;czadoman
Na hura wyznaczono;coma
Tak się bawisz ty i ja;czadoman
Przejąłem władzę;coma
To Stoki;coma
Jesienny i zły,;coma
W stu tysiącach jednakowych miast;coma
wygina się;czadoman
Ale Daria to dopiero szprycha.;czadoman
Hej, hej śmiejmy się rozwalmy te budę!;czadoman
Patrzę przez lornetkę, jedna mi się marzy.;czadoman
Która pokocha dziś mnie?;czadoman
Chodź na kolana;czadoman
Ach! Zmierzch już;coma
Czuję się jak woda wyciśnięta z piasku;czadoman
jestem dziś;czadoman
Siła, co nagle wstrzymuje gest;coma
Taniec;czadoman
Bo to jest miłość;czadoman
Lubisz lody, malinowe!;czadoman
jedziemy przed siebie;czadoman
Szatanowi niosła duszę:;coma
Ma zielone kocie oczy, tak samo jak ty;coma
Chcę z Tobą zostać, spełnić swe marzenia.;czadoman
Niech będzie chwała za ten czas!;coma
Nie udają i niczego nie sprzedają;czadoman
Co ma być to będzie, dobra nuta wszędzie;czadoman
Zmieszana z twoją na wiek;coma
Bo w koło to samo jak wczoraj tak dziś;czadoman
(roześmiana!);czadoman
Pokochaj mnie, niech wszyscy to zobaczą.;czadoman
Ruda tańczy jak szalona,;czadoman
Lubisz tańczyć jak opętana!;czadoman
Naczelnym;coma
Lecz cóż gdyby nie wiersz, mimo jego marnej trwałości;coma
Nigdy więcej sie nie stanie;coma
Moja bejbe, tak nazywam ją;czadoman
Aniołem;coma
Bo to jest miłość;czadoman
Gdy Cię nie widzę, jak na pustyni czuję się.;czadoman
Chodź znikniemy na chwile to miasto przytłacza jak głaz;coma
Poodgrażał się i znikł;coma
Nim w obraz doprawdy nad wyraz spójny;coma
Nie spodziewaj się miła, że będę gdy zechcesz mnie mieć;coma
Dostąpię łaski spełnienia gdy przyjdziesz do mnie;coma
Będą wabić biednych chłopców;coma
Co się tutaj dzieje, każdy dziś szaleje;czadoman
Przejąłem władzę;coma
Moja naiwna;coma
w sercu jej roztopił kamień;coma
Może szampana?;czadoman
ruszaj się i chwyć za rękę mnie;czadoman
Odkraaatuj pan sobie;coma
Nauczyłem się ukrywać cały strach;coma
Ja mógłbym tyle słów utoczyć krągłych i beztroskich;coma
Czy długo tak?;coma
Hej mała powiedz, jak Ci na imię;czadoman
bądź doskonała;czadoman
W nią wpisany mój kres,;coma
Pokonam trudy, mozoły czy będzie gorzej, czy lepiej;coma
ja jestem superbohaterm;czadoman
To nie jest sen;czadoman
Jeszcze teraz tego nie wiem,;czadoman
Bez echa, bez szlochu, ot jesień,;coma
Piękne, opalone, ciała tak zmysłowe,;czadoman
Niech będzie chwała za ten czas!;coma
Jej czuły dotyk, tego chcę;czadoman
Chroni nas Bóg;coma
Jaaaaaaaaaaaaaaaaaaaaaaaaaa;coma
przy mnie maleńka;czadoman
Pokochaj mnie, niech wszyscy to zobaczą.;czadoman
twoim Czadoman’en;czadoman
Niech wszystko wokół zamilknie i;coma
Wszyscy ręce w górę;czadoman
Nie proszę.;coma
Dzisiaj będzie moją dziewczyną;czadoman
Chcę dzisiaj poznać Twoje pragnienia;czadoman
Codziennie rano kiedy budzę się;czadoman
Wszyscy czekamy na pierwszy gol;czadoman
Zaległem wnet.;coma
ruszaj się i chwyć za rękę mnie;czadoman
Jak to jest? Wokół puste ściany;czadoman
Soczysty befsztyk z musztardą;coma
Ostatkiem liści opadł.;coma
tańcz, tańcz;czadoman
Tańcz, tańcz;czadoman
Dobry bit króluje w żyłach krew buzuje;czadoman
rozkute w planetarnym czasie;coma
Chmury zguby na łby, tak, tak!;coma
Ole, ole, ole, ole;czadoman
To jest właściwe słowo;coma
Jak Bóg!;coma
Ś, ś, ś, ś, ś, ś, ś...;coma
Kocham was, moje panie! Na wasz widok serce staje.;czadoman
Ja najbardziej lubię cię, a ja najbardziej lubię cię!;czadoman
Ocalić cię przed chłopcem, / To dla twojego dobra.;coma
Znamy tę zasadę damy sobie radę.;czadoman
Krząta się;coma
Patrzeć na siebie bez cienia zła;coma
tańcz, tańcz;czadoman
Tak się bawi, tak się bawi cała Polska;czadoman
to taka piękna rzecz;czadoman
A w nocy wyostrzone jeszcze;coma
Ja wiem, że kocham Cię;czadoman
Na na na na na na na...;czadoman
Wprowadzam w życie mój plan.;coma
Bo z Mariolą maratonu nie wydolę.;czadoman
Hej, hej śmiejmy się;czadoman
Hej, hej śmiejmy się;czadoman
I dobrze wiem;czadoman
Polarny wiatr;coma
Rozwalmy tę budę;czadoman
Nie musisz niczego pamiętać;coma
Minął zniewolenia czas,;coma
po to by Cię bawić;czadoman
Biedronki, pasikoniki, dżdżownice;coma
Nikt nas nie zatrzyma, jeszcze więcej czadu!;czadoman
Kocham was, moje panie! Na wasz widok serce staje.;czadoman
Zostań tu, zostań tu do rana;czadoman
Znowu zaczniesz żyć, dobrze bawić się;czadoman
Bo to jest miłość;czadoman
Tak się bawi, tak się bawi cała Polska;czadoman
Oto moja w zachodzie słońca;coma
Bo tylko ona ma takie ciało;czadoman
Chodź na kolana;czadoman
Zrównoważony, jednorodny byt;coma
Sztuka kochania nie do opanowania.;coma
Pokochaj mnie,chcę w sobie czuć motyle.;czadoman
Jak to jest? Czuję się pijany;czadoman
Więc poszedłem z nią do kina;czadoman
Na pewno jesteś, bo wierzę;coma
Wielki uśmiech mamy, zanim pójdę spać;coma
Dlaczego nie mogę przebywać, po każdej ze stron jednocześnie;coma
W poniedziałek wolę Olę niż Mariolę,;czadoman
Ja a a a;coma
Aby tylko błysnąć, aby tylko błysnąć.;coma
I nie mów, że nie wypada.;czadoman
Ocalić cię przed chłopcem, / To dla twojego dobra.;coma
Polska najlepszych kibiców ma;czadoman
Ole, ole, ole, ole;czadoman
I wiem, że kiedyś odlecę, zapalicie po mnie świece, zapalicie świece;czadoman
on tu nas ochładza;czadoman
Utoczę sobie krwi.;coma
Eksplo;coma
Pokochaj mnie i zostań jeszcze chwilę.;czadoman
Nagłe objawienia - Bursa, Miłosz, Lem;coma
blondynki brunetki;czadoman
Roślinność, wilgoć,;coma
muszę poznać tę Panią.;czadoman
Ole, ole, ole, ole;czadoman
Ja leżę i słucham,;coma
Pokój bez widoków na przyszłość;coma
Nauczyłem się umierać w sobie;coma
I nie mów, że nie wypada.;czadoman
Bo działo się coś ważnego;coma
superbohaterem;czadoman
Na pewno tęsknię i czekam;coma
Polska drużyna w piłkę dzisaj gra;czadoman
Nie ma w Tobie ani grama;czadoman
jeżeli można zapominając o wszystkim;coma
Czy długo tak?;coma
Bo to jest miłość;czadoman
Dokąd płynie miasto moich snów?;coma
gdy jesteś przy mnie;czadoman
Będziesz codzinnie ostrożnie żyła;coma
Zza mgły jedynie;coma
Pobawimy się w kotka i myszkę;czadoman
Czwartek, piątek, takich dni to ja nie lubię.;czadoman
Czy byłem z nią w piekle,;czadoman
I będzie wtedy trochę żalu, kilka zimnych łez na balu, zimnych łez (2 x);czadoman
Zabiorę Cię w podróż po dziwnej krainie;czadoman
On w oczach ma zło.;coma
Nie pytaj mnie jak i gdzie;czadoman
Pobawimy się w myszkę i kotka;czadoman
co by młodość wieczną miała.;coma
Moja bejbe, to mój cały świat;czadoman
Więc tańcz, tańcz;czadoman
Strach zawstydził się i uległ;coma
Penetrujące ręce wsunie pod sukienkę,;coma
Chciałbym dziś tam wrócić, bo ciągle mi mało!;czadoman
jestem dziś;czadoman
Zechciej mnie zabrać ze sobą;coma
Kiedy jesteś roześmiana?! Wtedy jesteś taka kochana!;czadoman
Pokój bez widoków;coma
bo ta impreza to nie byle co;czadoman
tańcz, tańcz;czadoman
Nie zalej się.;coma
Ściółka, mech;coma
jestem dziś;czadoman
Limanowskiego, Łódź,;coma
I zniknął.;coma
Człowiek!;coma
Oto Cisza i ogień - to we mnie i;coma
urok rzucasz na mnie gdy;czadoman
które stoją nad cichą rzeką zamyślenia;coma
Super się poczułem,;coma
Gdy myśl urwała się sama,;coma
Kocham was! Kocham was, moje panie!!;czadoman
Pada i wieje drugi tydzień z rzędu;coma
I słyszę że ktoś mi wygraża;coma
W bramach czai się zło.;coma
w dzień bikini, w nocy mini,;czadoman
Wszystkie zapytania znam!;coma
W bramach czai się zło.;coma
Ten wielki stwór;coma
Więc nasycam się dniem;coma
Dowód słusznego trudu;coma
Moja ochrona czerwona;coma
Za nim zacznę z nią przygodę;czadoman
a rutynę zabić;czadoman
jestem dziś;czadoman
Moja bejbe, to mój cały świat;czadoman
Znaleźć się już;coma
Głębokim oddechem;coma
Nie była oswojona,;coma
Zanim na psy, manowce zejdziesz. / To dla twojego dobra.;coma
Z tym ciśnieniem...;coma
Lecz cóż, gdyby nie wiersz, jak i dowód przeszłości?;coma
Nie mogę już obudzić się, muszę przestać żyć.;czadoman
Ja mogę tak być;coma
Czy kiedyś otworzysz,czy chcesz być sama;czadoman
Z milczenia, którego nie ogarnie żadna z planet;coma
Z tej dziewczyny z Instagrama;czadoman
bądź namiętna;czadoman
bądź namiętna;czadoman
Angela proszę cię nie idź z tym chłopcem na dno,;coma
0Rh+;coma
Angela proszę cię nie idź z tym chłopcem na dno.;coma
Jak dym.;coma
Kiedy jesteś roześmiana, Wtedy jesteś taka kochana,;czadoman
po to by Cię bawić;czadoman
Tak, że wyszedłem ze środka siebie;coma
Dziewka srodze się zaśmiała,;coma
Przejąłem władzę;coma
Białe krowy, znak odnowy głów.;coma
Powietrzny chrzęst.;coma
A przyjdzie czas, przyjdzie, próby czas;coma
Zewsząd na polanie począł;coma
Oto Cisza i ogień - wytchnienie mimo spraw.;coma
A liście pachniały i gniły;coma
Kiedyś myślałem, że to niemożliwe;czadoman
tańcz, tańcz;czadoman
Kaaarmić się taką karrrmą?;coma
Nie spostrzegła nic jak cała;coma
superbohaterem;czadoman
ja jestem superbohaterm;czadoman
Jutro nie zostanie po nim ślad;coma
jest to wrażenie jasności,;coma
Co to tam? Co?;coma
Chodź na kolana;czadoman
w dzień bikini, w nocy mini,;czadoman
Chwała wyklętym cukiernikom, ci nie zaznali słodyczy;coma
Może nie jedna, lecz dwie.;czadoman
Szumny tłum;coma
Ruda tańczy jak szalona;czadoman
Zapomniałem, że od kilku lat;coma
Już nic nie będzie takie jak dawniej;coma
Hej, hej bawmy się;czadoman
Jesienne umieranie;coma
I znowu żale i wchodzę dalej, w detale;czadoman
Więc tańcz, tańcz;czadoman
Z niedoskonałą wymową?;coma
Dokąd płynie niekochana Łódź?;coma
Wziąłem limuzynę, jadę po blondynę;czadoman
Kwiaty w ręku-świeże,pachnące;czadoman
I moja głowa jest cała różowa;coma
Podoczepiali wagony;coma
bo ta impreza to nie byle co;czadoman
Zmierzchający;coma
Jak to jest, że Cię tutaj nie ma?;czadoman
twoim przyjacielem;czadoman
po to by Cię bawić;czadoman
Czas poplątał kroki, jest łagodny i beztroski;coma
Póki co całą słodycz gwiazd Tobie dam...;coma
Dałbym ci więcej niż ten chłopiec ale nie chcesz.;coma
Szelestny szmer,;coma
superbohaterem;czadoman
W domu będzie ogień, a do domu proste drogi;coma
O uu lato...;czadoman
Ole, ole, ole, ole;czadoman
Już kupiłem Ci bilet zniewachaj się więc chociaż raz;coma
Chciałbym ocalić, co się da.;coma
Wreszcie;coma
Że widzę cię mniej wyraźnie;coma
Przejąłem władzę;coma
Look at the mooooon!”;coma
Niepokorna, roześmiana,;coma
Zanim ci;coma
Rozwalmy tę budę!;czadoman
One, to one, bliźniaczki szałowe;czadoman
A my z harmonii i rozdźwięku;coma
Przed sukcesem, kto wie?;coma
ja jestem superbohaterm;czadoman
Jaaaaaaaaaaaaaaa;coma
tańcz, tańcz;czadoman
twoim Czadomanem;czadoman
Na kilka chwil;coma
Chodź mała do mnie usiądź na kolana.;czadoman
Jest już lato, mamy lato,;czadoman
Chętnie utoczę sobie krwi;coma
na końcu której odnajdziemy sens;coma
Przez kilka chwil;coma
Szadź tu;coma
Kiedy go w nos trafiłem;coma
gdy mówisz do mnie pięknie tak, od razu chce się żyć.;czadoman
Jak to jest, że Cię tutaj nie ma?;czadoman
Jednak pomiędzy czarne wrony w głowie;coma
twoim przyjacielem;czadoman
To ja, ten sam od tylu lat, sam;coma
Bo westchnąłem;coma
Muszę sprawdzić jej urodę;czadoman
Dzisiaj rozprzestrzeniam się na wiatr.;coma
Na palcu spod noża do ryb;coma
Nienasycona;coma
Zamykam oczy i widzę jej ciało,;czadoman
I nie mów, że nie wypada.;czadoman
Bez kropli wody, jakbym błądził wciąż we mgle.;czadoman
Wszyscy ręce w górę;czadoman
gdy jesteśmy blisko;czadoman
Jak dwie krople wody, obie takie żywe.;czadoman
Nabawisz się pan skrzepu;coma
Jedziemy z Blondi limuzyną;czadoman
Czuję się, jakbym ciągle biegł pod wiatr;czadoman
i poczuj to co ja;czadoman
Czy?.. Ooooo mam;coma
Ja a a a;coma
Jedno jest pewne: Polska wygra mecz!;czadoman
do tego słońca w które wierzę;coma
Dokąd płynie odrapany wrak?;coma
W dobrym stylu i bez problemu, muuu.;coma
Budzę się rano, kiedy myśli jeszcze śpią.;czadoman
Kocham cię, moje kochanie;coma
Pokochaj mnie, niech inne serca płaczą.;czadoman
Mam jedno w głowie, chcę z nią spotkać się;czadoman
Bo football kręci jak rock’n’roll;czadoman
Ogłaszam zbiorową dymisję, wszyscy musimy ustąpić;coma
Znowu zaczniesz żyć, dobrze bawić się;czadoman
Wyzwoli strach, roztoczy gniew.;coma
Widok na świat.;coma
bądź doskonała;czadoman
Przejąłem władzę;coma
Archipelagi urodzajnych dni;coma
Tam wszystko jest piękne;czadoman
A wokół mnie i we mnie samym ład.;coma
Ja błagam cię,;coma
Do pierwszego wersu...;coma
Ach, jaki piękny dzień,;coma
Ile byłoby mnie? Lub o ile by mniej? O ile by mniej?;coma
Senny naciek purpury;coma
Widzę przez okno,że ktoś się skrada;czadoman
Jest już lato, mamy lato,;czadoman
Jak to jest? Wyję wciąż do nieba;czadoman
I nie mów, że nie wypada.;czadoman
mam pełno słońca jasną głowę i nadzieje że;coma
Najpierw drobniejsze stworzenia;coma
Co tak ładnie powiedział Barańczak;coma
Oto się mniejsze chłopaki;coma
Za nami, przed nami;czadoman
Rzetelnie żują, kontemplują;coma
Dreszcz i zryw.;coma
Minął zniewolenia czas;coma
Na na na na na na na...;czadoman
A będzie Ci lepiej niż w niebie;czadoman
A przyjdzie czas, przyjdzie, próby;coma
To nie jest sen, to dzieje się;czadoman
i pokażę jej co umiem.;czadoman
To ta słodka ciecz,;coma
I mam...wreszcie Ciebie mam...;coma
pozwól się ponieść;czadoman
Wkroczyła szara, naga noga miasta;coma
Pokój bez widoków;coma
Ole, ole, ole, ole;czadoman
Przejąłem władzę;coma
ja jestem superbohaterm;czadoman
I w Tobie.;coma
CZADOMAN ! !;czadoman
Widzę oczy Twe, widze smutną twarz;czadoman
U nóg mych grzmiał;coma
Oto Cisza i ogień - to we mnie i w tobie.;coma
Byłem u Rudej. Kocham jej oczy.;czadoman
Mam władzę, mam władzę;coma
Polacy nigdy nie poddają się;czadoman
Ach, jaki piękny dzień,;coma
Parę chwil, kilka dni przeleciało gdzieś;czadoman
Jak to jest? Wokół puste ściany;czadoman
Teraz tu szron na trawie lśnił;coma
Na kość zmarznięty;coma
Oto Cisza i ogień - wytchnienie mimo;coma
Początku mojego zagadka;coma
Ta mała jest po prostu wymarzona;czadoman
To nie jest sen;czadoman
A we wtorek będzie Gocha albo Zocha,;czadoman
a twoje usta;czadoman
Nie parzymy na nic i nie znamy granic;czadoman
Upadłem z powrotem;coma
One, to one, bliźniaczki szałowe;czadoman
Bo to jest miłość;czadoman
Ramie czasu.;coma
Kocham cię, moje kochanie;coma
a rutynę zabić;czadoman
Dziękuję,;coma
Oto Cisza i ogień - to we mnie i w tobie.;coma
Na, na, na,;coma
Tak się bawisz ty i ja;czadoman
Bo to jest miłość;czadoman
Wieczną mieć urodę muszę..;coma
jestem dziś;czadoman
Kocham was, moje panie! Na wasz widok serce staje.;czadoman
Mam przy sobie hajs, będzie very nice;czadoman
Wytarłszy rękawem;coma
One, to one, bliźniaczki szałowe;czadoman
Lecz nie.;coma
gdy twoje ciało;czadoman
Dokąd płynie odrapany wrak?;coma
Pięknie się zrobiło,;coma
Tam dalej ulica Pomorska;coma
I ze wspomnień;coma
który wciąż unosi mnie.;czadoman
Chętnie utoczę sobie krwi;coma
Bo to jest miłość;czadoman
Ole, ole, ole, ole;czadoman
Jak to jest, że Cię tutaj nie ma?;czadoman
Lecz nie miałem znów pojęcia;czadoman
Pobawimy się w myszkę i kotka;czadoman
Ja nie chcę, ja nie chcę dalej tam tkwić;coma
I strzęp ów świetlny;coma
Jej warkocze lniano złote;coma
Cieszą się;coma
Nim noc napełni się krzykiem i;coma
Lubisz śpiewać aż do rana!;czadoman
Żądze wystroiłem w treść;coma
Zmienię smutek, żal w wieczór pełen gwiazd;czadoman
Niepięknie, niedobrze,;coma
Więc tańcz, tańcz;czadoman
Krzyczy piszczy to jest ona!;czadoman
Widm bezkresnych szereg.;coma
Niestety świerszczyku nie mogę,;coma
I duł, że ech!;coma
smak życia doprawić;czadoman
Zostań tu, zostań tu do rana;czadoman
Rozwalmy tę budę;czadoman
a jeśli uda się wydostać stąd;coma
Kultury krwinek, rudy cud;coma
Bo tylko ona ma takie ciało (2 x);czadoman
Wracam do domu po ciężkiej nocy,;czadoman
Dzwonię i dzwonię,nikt nie otwiera;czadoman
Skoncentrowałem się na tym;coma
To strup na kolanie i amen w pacierzu;coma
Cholernie się czuję,;coma
Co wrona miała,;coma
Ach, jaki piękny dzień,;coma
Pozwól mi zbliżyć się do siebie...;czadoman
Tak się bawi, tak się bawi cała Polska;czadoman
zbliżają się;czadoman
Łysnął żubr;coma
Hej, hej bawmy się wszyscy ręce w górę;czadoman
To nie jest sen;czadoman
Pora kończyć, do cholery;coma
Pokochaj mnie,niech inne serca płaczą.;czadoman
Straciłem poczucie równowagi;coma
Oto, dlaczego nie dotrze do ciebie mój znak.;coma
Ja otwieram wino, zaraz będzie miło;czadoman
Chwila wytchnienia mimo spraw;coma
Nie do wiary że tak bardzo płonę;coma
Gdy rozjaśniłem pokój swoją peleryną,;czadoman
Polana lśni.;coma
Ja;coma
Oto płynąca za wykres;coma
Nie do wiary że tak bardzo płonę;coma
Gdzie złożyć można;coma
Bo to miłość jest;czadoman
Dzisiaj będzie moją dziewczyną;czadoman
Metafory, metafory,;coma
I utkwiłem z tym szlochem;coma
Nim zgrzyt zagłuszy muzykę;coma
Od rana pada deszcz,;coma
Bym zaległ był,;coma
przy mnie do rana;czadoman
Opowiem Wam co to za laska;czadoman
Bo to jest miłość;czadoman
smak życia doprawić;czadoman
Okropnie będzie ci wstyd.;coma
by móc wciąż przy Tobie być.;czadoman
Czy tego chcesz czy nie chcesz,;coma
Gdzie bogini jest ze zdjęcia;czadoman
Moich dni, moich dni ...;coma
smak życia doprawić;czadoman
Zadumała się dziewczyna nad swoją urodą;coma
Jutro nie zostanie po nim ślad;coma
przy mnie maleńka;czadoman
Bo to jest miłość;czadoman
Nadchodzi już wieczór, zapada noc,;czadoman
Z Rudą noce są wspaniałe!;czadoman
Ona mówi, że jest pięknie;czadoman
Podsumowanie zysków i strat.;coma
Ale chciałbym by to był karabin;coma
Pokochaj mnie i zostań jeszcze chwilę.;czadoman
Więc tańcz, tańcz;czadoman
nie krępuj się;czadoman
Jak dziecko złe.;coma
Ile byłoby mnie? Lub o ile by mniej? O ile by mniej?;coma
Na skraju miast, na skraju dnia;coma
z niecierpliwości strun spragnionych;coma
smak życia doprawić;czadoman
Coś co wstrząsnęło polaną.;coma
Jesteś tam, gdzie nie było dane nam;czadoman
Niczego nie będę żałował;coma
Z powietrza na szczytach mojej wyobraźni,;coma
Mieniąca się rosa;coma
A przyjdzie czas, przyjdzie, próby czas;coma
gdy twoje ciało;czadoman
Zostajemy i tańczymy tu do końca;czadoman
Pomiędzy słowa wbił się byk.;coma
Może nie jedna, lecz dwie.;czadoman
Tak, tak!;coma
Nędza mnoży się dzielnie / czego to oni to czego, czego to oni to nie wymyślą;coma
I dobrze wiem;czadoman
Jak to jest? Wyję wciąż do nieba;czadoman
zacząć jeszcze jeden raz od nowa;coma
Próbując nabrać nowych sił;coma
Powiedz mi, czego chciałabyś dziewczyno.;czadoman
Do szaleństwa doprowadza mnie;czadoman
Ty bańki mi tlenu do mózgu, do naczyń;coma
Polacy nigdy nie poddają się;czadoman
Czego to, czego to nie wynajdą?;coma
Nareszcie;coma
przebojem jest;czadoman
Krzyczy piszczy to jest ona!;czadoman
I nie chcę tu sztywny tak utracić chwil, moich dni, moich dni;coma
kątem oka patrzę na Nią,;czadoman
Chwała wyklętej interpretacji, po każdej stronie słowa znaczą inaczej;coma
Lubisz tańczyć jak opętana.;czadoman
Chciałbym homo- się stać seksualny;coma
Jedziemy do góry, nie patrzymy na dół;czadoman
z przelotów wiatru, z garści cienia;coma
Pokochaj mnie, niech inne serca płaczą.;czadoman
Byś nie mogła wrócić do mnie;coma
I nie mów, że nie wypada.;czadoman
Ciąży na mnie zła siła, zasypiam gdzie dorwie mnie sen;coma
Świerszczy mi świerszczyk przestrogę:;coma
Nie ma w Tobie ani grama;czadoman
Bóg go teraz nie chce w niebie,;coma
To Twoja matka,jasna cholera;czadoman
Bo to miłość jest;czadoman
Trzeba będzie mi lśnić?;coma
Słuchaj jak dźwięków moc;czadoman
bo ta impreza to nie byle co;czadoman
..a będzie Ci lepiej niż w niebie;czadoman
Bo ciebie mi brak ciebie mi brak;coma
Kraaawawica zaleje,;coma
Na na na na na na na...;czadoman
One, to one, bliźniaczki szałowe;czadoman
Ale co tam przecież jestem jeszcze młody,;czadoman
Ten obwiesił się na drzewie ..;coma
Jak to jest? Czuję się pijany;czadoman
przy mnie do rana;czadoman
Lubisz patrzeć, nocą w gwiazdy.;czadoman
A teraz się yeah yeah;czadoman
We mnie i w tobie.;coma
pijemy wino zakochani.;czadoman
I jam drżał,;coma
podejdź;czadoman
Planuję ostatecznie;coma
ruszaj się i chwyć za rękę mnie;czadoman
Po środku nocy sami ze sobą;czadoman
Hej, hej śmiejmy się rozwalmy te budę!;czadoman
W odległych miastach katastrofy chceń;coma
Lipy tutaj nie ma bo grają Czadomana.;czadoman
Reklamówka foliowa. / To dla twojego dobra.;coma
Widzę odpowiedzi, wszystkie!;coma
Będzie Renia, ale ona nic nie umie.;czadoman
Cisza.;coma
nie mamy oporów;czadoman
Ślad fosforyczny w pamięci;coma
Ostatnia kropla, ofiara czysta;coma
Czy omam?;coma
Ja mogę tak być;coma
I mogę w to wierzyć, że;coma
A my z harmonii i rozdźwięku;coma
Nie wiem czy jeszcze zdołam trwać;coma
A na zdjęciach cud dziewczyna;czadoman
urok rzucasz na mnie gdy;czadoman
a rutynę zabić;czadoman
Oto moja milcząca krew;coma
Uciekam w przeciwną stronę;coma
Gdy utopisz lęk przed kolejnym dniem;czadoman
pod gniewem rozpalonych dłoni;coma
Rozmyty deszczem sen,;coma
Pozwól mi i wpuść mnie do środka;czadoman
Na skraju miast, na skraju dnia;coma
A ty przy mnie śpisz i żyjesz nieodległa w snach;coma
Gdy goluśki wyloz z wody,;coma
do baru po drina;czadoman
Wdarło się białe stado krów,;coma
Wzrok przekroczył linię horyzontu, aby zginąć;coma
Z Rudą noce są wspaniałe!;czadoman
to taka piękna rzecz;czadoman
Miałem wiele, lecz nie takich jak ona;czadoman
Zamykam oczy i wracam do dziecka;czadoman
On w oczach ma zło.;coma
a nie zapomnisz tych wspaniałych dni;czadoman
Kocham was! Kocham was, moje panie!;czadoman
Chodź na kolana;czadoman
A my z harmonii i rozdźwięku;coma
Mam poezję i wino, będziemy się kochać co noc;coma
Bo po co mi wszystko, kiedy nie mam nic;czadoman
No chodź na kolana;czadoman
Jakie czyniła ruda z czwartej b;coma
Dzisiaj będzie moją dziewczyną;czadoman
Cisza i ogień. No!;coma
Lecz z tamtej nocy niczego nie żałuję,;czadoman
bądź doskonała;czadoman
 Kiedy jesteś roześmiana, wtedy jesteś taka kochana!;czadoman
Czy tego chcesz czy nie;czadoman
Słodki losie czy;coma
Nie zrozumiałem nic.;coma
twoim Czadoman’en;czadoman
Taka dzielnica rolna,;coma
Jutro nie zostanie po nich najmarniejszy cień;coma
Pokochaj mnie, chcę w sobie czuć motyle.;czadoman
Znowu zaczniesz żyć i uśmiechać się;czadoman
Przez ulice zakażone bezradnością dni;coma
do białego rana;czadoman
